0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui_ext/dist/dtree.js HTTP/1.1" 200 99459
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui/lay/modules/table.js HTTP/1.1" 200 31323
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/loading-1.gif HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui/lay/modules/laytpl.js HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui/lay/modules/laypage.js HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui/lay/modules/util.js HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/menu/loadAllMenu.action?page=1&limit=10 HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.ttf?x3m8fp HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:47:26 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10282
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:47:26 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:47:26 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:47:26 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:24 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10282
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:24 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:24 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:24 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/sys/toMenuManager.action HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/sys/toMenuLeft.action HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/sys/toMenuRight.action HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.css HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui_ext/dtree/dtree.css HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui_ext/dist/dtree.js HTTP/1.1" 200 99459
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui/lay/modules/table.js HTTP/1.1" 200 31323
